Column,Units,Data Type,Description
wigos_identifier_series, ,Integer,WIGOS Identifier Series
wigos_issuer_of_identifier, ,Integer,WIGOS Issuer Of Identifier
wigos_issue_number, ,Integer,WIGOS Issue Number
wigos_local_identifier_character, ,Character,WIGOS Local Identifier Character
block_number, ,Integer,"WMO Block Number,"
station_number, ,Integer,"WMO Station Number,"
station_or_site_name, ,Character,Station name
station_type, ,Integer,"Type of observing station, encoded using table 0 02 001 (i.e. 0 for AWSs)"
year, ,Integer,"Year(UTC), time of report creation"
month, ,Integer,"Month(UTC), time of report creation"
day, ,Integer,"Day(UTC), time of report creation"
hour, ,Integer,"Hour(UTC), time of report creation"
minute, ,Integer,"Minute(UTC), time of report creation"
latitude,degrees,Decimal,Latitude of the station up to 5 decimal places
longitude,degrees,Decimal,Longitude of the station up to 5 decimal places
height_of_station,metres,Decimal,"Height of the station above mean sea level, up to 1 decimal place"
height_of_barometer,metres,Decimal,"Height of the barometer above mean sea level, up to 1 decimal place"
time_zone_offset, ,Integer,"Offset between UTC and local time, UTC-LT"
days_in_month, ,Integer,Number of days in the month of the report
mean_pressure,Pa,Integer,"Monthly mean value for the observed pressure at station height, to the nearest 10 Pa"
mean_pressure_sea_level,Pa,Integer,"Monthly mean value for the observed pressure at sea level, to the nearest 10 Pa"
standard_pressure_level,Pa,Integer,"Standard pressure level to the nearest 10 Pa, leave empty if lowland station"
geopotential_height,gpm,Integer,"Geopotential height , leave empty if lowland station"
height_of_sensor,metres,Decimal,Height of barometer above local ground to 1 decimal place
air_temperature,K,Decimal,"Monthly mean value for the observed air temperature, up to 2 decimal places"
method_for_extreme_temperatures, ,Integer,"Method for observing extreme temperatures, table 0 02 051"
daily_read_time_max_temp, ,Integer,Principal hour of reading maximum temperature daily
max_temperature_last_24h,K,Decimal,"Maximum temperature in the month, up to 2 decimal places"
daily_read_time_min_temp, ,Integer,Principal hour of reading minimum temperature daily
min_temperature_last_24h,K,Decimal,"Minimum temperature in the month, up to 2 decimal places"
vapour_pressure,Pa,Integer,"Monthly mean value for the observed vapour pressure, up to the nearest 10 Pa"
daily_mean_temp_deviation,K,Decimal,"Monthly standard deviation of daily mean temperature, up to 2 decimal places"
days_missing_pressure, ,Integer,Amount of days in month where pressure was not collected
days_missing_mean_temperature, ,Integer,Amount of days in month where temperature was not collected
days_missing_vapour_pressure, ,Integer,Amount of days in month where vapour pressure was not collected
days_missing_max_temperature, ,Integer,Amount of days in month where maximum temperature was not collected
days_missing_min_temperature, ,Integer,Amount of days in month where minimum temperature was not collected
total_sunshine_hours, ,Integer,Montly daily mean amount of sunshine hours
total_sunshine_percent,%,Integer,Monthly mean of sunshine percent
days_missing_total_sunshine, ,Integer,Amount of days in month where sunshine was not collected
wind_over_10mps_days, ,Integer,Amount of days in month where mean wind speed exceeded 10 ms-1
wind_over_20mps_days, ,Integer,Amount of days in month where mean wind speed exceeded 20 ms-1
wind_over_30mps_days, ,Integer,Amount of days in month where mean wind speed exceeded 30 ms-1
max_temp_below_zero_days, ,Integer,Amount of days in month where maximum temperature stayed below 0 degrees celsius
max_temp_above_25_days, ,Integer,Amount of days in month where maximum temperature exceeded 25 degrees celsius
max_temp_above_30_days, ,Integer,Amount of days in month where maximum temperature exceeded 30 degrees celsius
max_temp_above_35_days, ,Integer,Amount of days in month where maximum temperature exceeded 35 degrees celsius
max_temp_above_40_days, ,Integer,Amount of days in month where maximum temperature exceeded 40 degrees celsius
min_temp_below_zero_days, ,Integer,Amount of days in month where minimum temperature stayed below 0 degrees celsius
snow_over_0cm_days, ,Integer,Amount of days in month where snow height exceeded 0cm
snow_over_1cm_days, ,Integer,Amount of days in month where snow height exceeded 1cm
snow_over_10cm_days, ,Integer,Amount of days in month where snow height exceeded 10cm
snow_over_50cm_days, ,Integer,Amount of days in month where snow height exceeded 50cm
horizontal_visibility_below_50m_days, ,Integer,Amount of days in month where horizontal visisbility stayed below 50m
horizontal_visibility_below_100m_days, ,Integer,Amount of days in month where horizontal visisbility stayed below 100m
horizontal_visibility_below_1000m_days, ,Integer,Amount of days in month where horizontal visisbility stayed below 1000m
hail_days, ,Integer,Amount of days in month with hail
storm_days, ,Integer,Amount of days in month with storm occurrence
height_of_temp_sensor,metres,Decimal,Height of temperature sensor above local ground to 1 decimal place
highest_daily_mean_temperature _qualifier, ,Integer,"Qualifier for the daily occurrence, 0 if only occurred once in the month, 1 if occurred 2 times or more"
highest_daily_mean_temperature_day, ,Integer,Day of the month where the highest daily mean temperature was meassured
highest_daily_mean_temperature,K,Decimal,"Highest daily mean temperature in the month, up to 2 decimal places"
lowest_daily_mean_temperature_qualifier, ,Integer,"Qualifier for the daily occurrence, 0 if only occurred once in the month, 1 if occurred 2 times or more"
lowest_daily_mean_temperature_day, ,Integer,Day of the month where the lowest daily mean temperature was meassured
lowest_daily_mean_temperature,K,Decimal,"Lowest daily mean temperature in the month, up to 2 decimal places"
monthly_max_temperature_qualifier, ,Integer,"Qualifier for the daily occurrence, 0 if only occurred once in the month, 1 if occurred 2 times or more"
monthly_max_temperature_day, ,Integer,Day of the month where the maximum temperature was meassured
monthly_max_temperature,K,Decimal,"Maximum temperature in the month, up to 2 decimal places"
